210909HeLa-YN2-7035-1.nd2	223.887	22	-1	-1	1444.43	2925.75	1888.93	2400	2166.87	3136.82	2546.47	2967.33	2432.69	2759.27	1242.77	2265.78	1780.6	1495.68	1335.06	1640.19	2105.12	2609.72	1939.87	1981.93
210909HeLa-YN2-7035-1.nd2	233.929	23	-1	-1	1441.17	2921.12	1883.45	2404.7	2179.02	3155.67	2604.83	3143.21	2396.16	2713.99	1245.45	2350.69	1743.54	1506.93	1340.75	1664.88	2175.13	2815.93	1968.24	2033.33
210909HeLa-YN2-7035-1.nd2	243.842	24	-1	-1	1443.51	2951.94	1875.02	2394.63	2182.71	3132.89	2572.83	3140.86	2371.49	2652.36	1243.31	2367.21	1745.21	1511.04	1347.39	1660.83	2014.73	2732.5	1951.37	1964.33
210909HeLa-YN2-7035-1.nd2	253.819	25	-1	-1	1441.88	2979.83	1881.15	2404.98	2183.38	3158.74	2575.54	3121.29	2398.96	2649.29	1244.48	2339.32	1750.37	1501.06	1354.42	1660.12	2115.97	2617.39	1981.2	1958.63
210909HeLa-YN2-7035-1.nd2	263.871	26	-1	-1	1450.21	3015.23	1879.98	2395.25	2189.44	3201.64	2506.79	3108.55	2436.4	2625.62	1244.04	2315.18	1752.51	1487.03	1343.44	1670.06	2093.32	2779.96	1975.85	1960.15
210909HeLa-YN2-7035-1.nd2	273.881	27	-1	-1	1440.97	2978.53	1889.73	2375.05	2177.68	3204.05	2537.82	3089.04	2398.28	2627.79	1240.41	2377.44	1771.55	1497.25	1338.59	1668.36	2139.24	2711.99	1958.24	1997.49
210909HeLa-YN2-7035-1.nd2	283.855	28	-1	-1	1451.29	3071.95	1896.38	2377.43	2174.92	3204.82	2494.13	3032.39	2392.54	2635.22	1252.11	2284.59	1758.57	1485.39	1356.36	1678.89	2229.27	2682.52	1974.38	1966.5
210909HeLa-YN2-7035-1.nd2	293.955	29	-1	-1	1446.87	2988.77	1902.34	2356.37	2176.86	3181.02	2527.9	3083.13	2398.66	2710.94	1249.24	2328.17	1785.36	1483.9	1348.23	1675.55	2161.01	2799.07	1956.54	1994.26
210909HeLa-YN2-7035-1.nd2	303.876	30	-1	-1	1455.39	3105.72	1892.22	2325.54	2240.52	3166.83	2367.6	3057.98	2416.31	2800.44	1252.34	2300.48	1786.86	1484.83	1338.02	1670.12	2180.71	2663.25	1925.45	2042.23
210909HeLa-YN2-7035-1.nd2	313.865	31	-1	-1	1442.67	2982.71	1892.86	2338	2177.71	3183.06	2529.94	3082.05	2379.17	2730.39	1247.42	2252.81	1778.53	1480.92	1347.97	1669.32	2134.62	2654.77	1952.78	2066.67
210909HeLa-YN2-7035-1.nd2	323.884	32	-1	-1	1441.17	2905.63	1918.18	2324.54	2207.49	3131.64	2692.04	3150.83	2422.59	2750.75	1247.78	2261.6	1768.4	1485.55	1349.85	1686.61	2230.37	2636.31	1966.1	2047.54
